"행정구역(시군구)별",2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"안양시",6984,7912,-928,3623,1762,2374,1599,1915,6278,7430,-1152,3285,1536,2369,1457,1776,5882,7278,-1396,3053,1427,2533,1402,1692
"부천시",9793,10419,-626,5177,1136,1459,3480,3783,8401,9073,-672,4252,1059,1454,3090,3367,8901,8981,-80,4326,1175,1294,3400,3361
"광명시",3156,4045,-889,1539,474,1031,1143,1475,2900,3564,-664,1414,414,804,1072,1346,2847,3618,-771,1279,476,1069,1092,1270
"평택시",5864,5404,460,2397,1419,1193,2048,1814,5229,4787,442,2168,1253,1015,1808,1604,5520,4860,660,2346,1363,1018,1811,1496
"동두천시",1233,1298,-65,577,366,442,290,279,1135,1173,-38,571,333,333,231,269,1030,1080,-50,463,343,380,224,237
"안산시",7291,8100,-809,3906,1641,2117,1744,2077,6350,7006,-656,3230,1494,1951,1626,1825,6256,7189,-933,3243,1416,2095,1597,1851
"고양시",10944,10880,64,5127,1912,2212,3905,3541,11502,11154,348,5379,1910,2240,4213,3535,11216,11267,-51,5198,1813,2364,4205,3705
"과천시",698,1320,-622,404,102,557,192,359,618,1124,-506,306,121,458,191,360,507,823,-316,222,113,295,172,306
"구리시",2335,2211,124,887,664,681,784,643,2345,2039,306,746,699,602,900,691,1760,1882,-122,546,515,717,699,619
"남양주시",6133,5635,498,2013,1405,1549,2715,2073,6041,5570,471,1900,1397,1470,2744,2200,6462,5249,1213,1907,1506,1422,3049,1920
"오산시",2189,2118,71,622,881,870,686,626,2042,2048,-6,523,923,988,596,537,2181,1992,189,546,945,930,690,516
"시흥시",4611,4144,467,1549,1587,1234,1475,1361,3981,3922,59,1389,1299,1270,1293,1263,4721,3815,906,1471,1823,1098,1427,1246
"군포시",2758,2975,-217,1137,980,1058,641,780,2530,2917,-387,1008,928,1184,594,725,2364,2784,-420,955,883,1152,526,677
"의왕시",1476,1554,-78,307,813,820,356,427,1432,1481,-49,258,850,824,324,399,1516,1477,39,256,880,769,380,452
"하남시",3824,2509,1315,1107,750,490,1967,912,3417,2504,913,1025,595,518,1797,961,2921,2145,776,792,565,502,1564,851
"용인시",10361,9461,900,3458,3142,3195,3761,2808,10189,9350,839,3262,3278,3231,3649,2857,11220,9802,1418,3410,3946,3444,3864,2948
"파주시",4660,4339,321,1789,1293,1345,1578,1205,4445,4058,387,1707,1287,1230,1451,1121,4232,4063,169,1645,1300,1306,1287,1112
"이천시",2676,2099,577,1008,617,503,1051,588,2505,1953,552,848,615,472,1042,633,2242,1883,359,882,585,443,775,558
"안성시",2261,1791,470,695,705,530,861,566,1626,1524,102,523,553,474,550,527,1582,1587,-5,528,492,575,562,484
"김포시",5628,3763,1865,1547,1159,658,2922,1558,6265,4490,1775,2085,1217,677,2963,1728,5878,3882,1996,1700,1189,710,2989,1472
"화성시",8480,5947,2533,2311,3935,2090,2234,1546,8794,5945,2849,2313,4204,2005,2277,1627,9180,6266,2914,2665,4210,2099,2305,1502
"양주시",2553,2095,458,724,1085,778,744,593,2294,1839,455,593,943,664,758,582,3520,2376,1144,1086,1456,733,978,557
"광주시",4169,3232,937,987,1851,1321,1331,924,3806,3027,779,930,1755,1161,1121,936,3742,3078,664,887,1773,1302,1082,889
"포천시",1444,1510,-66,486,465,541,493,483,1289,1389,-100,467,378,464,444,458,1294,1520,-226,443,436,588,415,489
"여주시",1120,1028,92,419,357,274,344,335,1053,1051,2,399,334,313,320,339,1047,993,54,398,321,288,328,307
"양주군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"여주군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"화성군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"파주군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"연천군",425,448,-23,92,152,217,181,139,381,434,-53,110,154,192,117,132,419,492,-73,81,148,217,190,194
"포천군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"가평군",772,541,231,92,259,196,421,253,537,460,77,46,188,178,303,236,657,458,199,58,211,173,388,227
"양평군",1537,1062,475,357,489,288,691,417,1430,1008,422,322,439,276,669,410,1370,916,454,273,444,237,653,406
"이천군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"용인군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"안성군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"김포군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원도",15883,15846,37,7474,2409,2409,6000,5963,15639,14859,780,6891,2577,2577,6171,5391,14486,14791,-305,6387,2462,2462,5637,5942
"춘천시",3078,3084,-6,1863,360,305,855,916,2814,2807,7,1714,329,367,771,726,2961,3052,-91,1813,361,312,787,927
"원주시",4048,3851,197,2333,444,307,1271,1211,3782,3598,184,2207,433,304,1142,1087,3582,3320,262,1905,494,316,1183,1099
"강릉시",2327,2205,122,1325,291,264,711,616,2055,2055,0,1166,265,242,624,647,1788,1827,-39,998,231,261,559,568
"동해시",793,859,-66,356,125,155,312,348,787,761,26,320,135,157,332,284,813,782,31,347,129,129,337,306
"태백시",396,472,-76,216,65,81,115,175,342,423,-81,183,55,89,104,151,403,452,-49,205,87,100,111,147
"속초시",995,1037,-42,484,190,204,321,349,951,1077,-126,465,209,310,277,302,896,838,58,386,210,208,300,244
"삼척시",585,627,-42,237,110,111,238,279,526,597,-71,183,133,136,210,278,495,632,-137,203,115,133,177,296
"홍천군",622,559,63,129,120,134,373,296,555,493,62,102,121,128,332,263,525,494,31,87,122,128,316,279
"횡성군",334,354,-20,46,93,134,195,174,381,299,82,52,87,118,242,129,382,321,61,38,117,132,227,151
"영월군",353,289,64,21,85,63,247,205,280,288,-8,46,63,68,171,174,348,310,38,28,63,60,257,222
